Date,AVG
2021-07-26,0.7668061744933059
2021-07-27,0.771296388976175
2021-07-28,0.7752348036163843
2021-07-29,0.7796322540819671
2021-07-30,0.783171900469872
2021-08-02,0.7855945129886154
2021-08-03,0.7921411137897931
2021-08-04,0.7889096004840368
2021-08-05,0.7835937645454636
2021-08-06,0.7822563909509901
2021-08-09,0.7819399475486162
2021-08-10,0.7763665373761159
2021-08-11,0.770747566935605
2021-08-12,0.7808452530492775
2021-08-13,0.7851374063792141
2021-08-16,0.7951397124801146
2021-08-17,0.8032436577552731
2021-08-18,0.7891328540263234
2021-08-19,0.7937658623636248
2021-08-20,0.7984475332349785
2021-08-23,0.7993594886707518
2021-08-24,0.8005880555425431
2021-08-25,0.802039057887623
2021-08-26,0.7989744264376825
2021-08-27,0.801069914861628
2021-08-30,0.8063134673966696
2021-08-31,0.8070057761816538
2021-09-01,0.8104582425811184
2021-09-02,0.8226116224255704
2021-09-03,0.8232145024713308
2021-09-07,0.8194172380580741
2021-09-08,0.8192754535545705
2021-09-09,0.8102400294169259
2021-09-10,0.8004925707332232
2021-09-13,0.7941471935435791
2021-09-14,0.7957800959211045
2021-09-15,0.8017729024283209
2021-09-16,0.8002211833661523
2021-09-17,0.7996760799079354
2021-09-20,0.7885623253967606
2021-09-21,0.7890421349145216
2021-09-22,0.791621471420078
2021-09-23,0.7999212461686926
2021-09-24,0.7974765150919433
2021-09-27,0.7819221632969086
2021-09-28,0.7652222881255271
2021-09-29,0.7701563767928974
2021-09-30,0.7561088763485744
2021-10-01,0.7577492574826263
2021-10-04,0.7419639822402844
2021-10-05,0.7455605332147215
2021-10-06,0.7461148116062516
2021-10-07,0.7544479477008571
2021-10-08,0.7483622644544363
2021-10-11,0.7418601168417629
2021-10-12,0.7384252234607844
2021-10-13,0.7385019713611027
2021-10-14,0.7512505339136124
2021-10-15,0.7549036632074282
2021-10-18,0.7503052562552677
2021-10-19,0.7609510979756788
2021-10-20,0.7729606125236592
2021-10-21,0.7776090950710576
2021-10-22,0.7803913088502354
2021-10-25,0.7803688552862398
2021-10-26,0.7813875066209431
2021-10-27,0.7720733232664813
2021-10-28,0.780405473842954
2021-10-29,0.785326406370004
2021-11-01,0.7878904031622354
2021-11-02,0.786927998703548
2021-11-03,0.7910618394702191
2021-11-04,0.7822063741094094
2021-11-05,0.7758675661052883
2021-11-08,0.7818229439519655
2021-11-09,0.7785100441030537
2021-11-10,0.7781563918819976
2021-11-11,0.7752849240862066
2021-11-12,0.7799533088921854
2021-11-15,0.7737034043858297
2021-11-16,0.7791801616205627
2021-11-17,0.777454748060564
2021-11-18,0.7748750391756583
2021-11-19,0.7702229760803627
2021-11-22,0.7663175692508013
2021-11-23,0.7629707452478306
2021-11-24,0.7624923965411892
2021-11-26,0.7538822996381858
2021-11-29,0.7565742750638356
2021-11-30,0.73623870599312
2021-12-01,0.7315293983258693
2021-12-02,0.7419190713906999
2021-12-03,0.7393765492777569
2021-12-06,0.7476240434144137
2021-12-07,0.7625224820174842
2021-12-08,0.7707876153896576
2021-12-09,0.7668714490616994
2021-12-10,0.7691914875439938
2021-12-13,0.7739303289023376
2021-12-14,0.7669430198511522
2021-12-15,0.781516614754012
2021-12-16,0.7828069386041749
2021-12-17,0.7822906232376143
2021-12-20,0.7726764728249171
2021-12-21,0.7830044575078943
2021-12-22,0.7952854545455386
2021-12-23,0.8007970776432317
2021-12-27,0.8107127841639297
2021-12-28,0.8080623527074748
2021-12-29,0.8141481597043252
2021-12-30,0.8165484122530317
2021-12-31,0.8123690913184387
2022-01-03,0.8036680542963224
2022-01-04,0.7918049530301143
2022-01-05,0.7785219068912569
2022-01-06,0.769908726465562
2022-01-07,0.763960698471494
2022-01-10,0.7705704439812351
2022-01-11,0.7806320395588395
2022-01-12,0.7761378305204691
2022-01-13,0.7637543399380013
2022-01-14,0.7619862623177289
2022-01-18,0.7447490370127415
2022-01-19,0.7422522243268791
2022-01-20,0.7369037199351552
2022-01-21,0.7277905365600565
2022-01-24,0.7297551916926777
2022-01-25,0.716841251037367
2022-01-26,0.7113486857844213
2022-01-27,0.7090904261548268
2022-01-28,0.7268384557541296
2022-01-31,0.7359664777929944
2022-02-01,0.7415990850467674
2022-02-02,0.7522025956030698
2022-02-03,0.7483235182488508
2022-02-04,0.7462368442134891
2022-02-07,0.744236218362615
2022-02-08,0.7558911898824585
2022-02-09,0.7675151318736969
2022-02-10,0.7539248722036833
2022-02-11,0.7417295824265903
2022-02-14,0.7332502472966724
2022-02-15,0.745579786445327
2022-02-16,0.750396215225652
2022-02-17,0.7345013310745809
2022-02-18,0.7291300515398493
2022-02-22,0.7287082558547886
2022-02-23,0.7223552210374864
2022-02-24,0.7331987064697343
2022-02-25,0.7580149191857721
2022-02-28,0.7492028694594681
2022-03-01,0.745333477666255
2022-03-02,0.7560163603343453
2022-03-03,0.7592243420641895
2022-03-04,0.760003624036511
2022-03-07,0.7412652305036316
2022-03-08,0.7204794259039045
2022-03-09,0.7380592579396789
2022-03-10,0.7346363950131867
2022-03-11,0.7237390118055385
2022-03-14,0.7202086569308543
2022-03-15,0.7370513202177646
2022-03-16,0.752867174539187
2022-03-17,0.7671553783516862
2022-03-18,0.7747105143314735
2022-03-21,0.7725399741787264
2022-03-22,0.7758592886381854
2022-03-23,0.7563588635654159
2022-03-24,0.7666373684578385
2022-03-25,0.7708225450559654
2022-03-28,0.7778682460307974
2022-03-29,0.7855366654296525
2022-03-30,0.7834240767053107
2022-03-31,0.7730520864167676
2022-04-01,0.7825041717689525
