Date,AVG
2021-07-26,0.786924559841804
2021-07-27,0.7798374933600417
2021-07-28,0.7844114711899172
2021-07-29,0.7915298198197598
2021-07-30,0.7944093419998577
2021-08-02,0.7919248383752071
2021-08-03,0.801558243541848
2021-08-04,0.8025382765488476
2021-08-05,0.8047211023762554
2021-08-06,0.8085530915058757
2021-08-09,0.8060705094608259
2021-08-10,0.8006919273206372
2021-08-11,0.8028949622001644
2021-08-12,0.8015747215208548
2021-08-13,0.8031430158178933
2021-08-16,0.803233457783719
2021-08-17,0.7936535057807909
2021-08-18,0.7846410152743294
2021-08-19,0.7881755569802887
2021-08-20,0.7951456917123021
2021-08-23,0.8064738940280533
2021-08-24,0.8078041528874029
2021-08-25,0.8113093931870711
2021-08-26,0.8075942534405129
2021-08-27,0.8186431185836677
2021-08-30,0.8211408944470451
2021-08-31,0.8180274327418269
2021-09-01,0.8155329077810246
2021-09-02,0.8173939984121328
2021-09-03,0.8194956037079228
2021-09-07,0.8118863448077935
2021-09-08,0.8087392402815371
2021-09-09,0.8083487080631232
2021-09-10,0.803677990148955
2021-09-13,0.8028676838483277
2021-09-14,0.7988976334072256
2021-09-15,0.8060029812297858
2021-09-16,0.8073260424704453
2021-09-17,0.7960676210604064
2021-09-20,0.7813688519289387
2021-09-21,0.7785809940242717
2021-09-22,0.7909622922451334
2021-09-23,0.8052268487422856
2021-09-24,0.8069236865777826
2021-09-27,0.8031197760744179
2021-09-28,0.7790765539383583
2021-09-29,0.7743425539181452
2021-09-30,0.7682337988304184
2021-10-01,0.7784330449905247
2021-10-04,0.7615790451183861
2021-10-05,0.770862633784051
2021-10-06,0.7710927917930462
2021-10-07,0.7801733263490902
2021-10-08,0.7755390736586705
2021-10-11,0.7699015061738547
2021-10-12,0.7667488647375768
2021-10-13,0.7730308274388303
2021-10-14,0.792644047734961
2021-10-15,0.7983261638083131
2021-10-18,0.8031166100296075
2021-10-19,0.8125806310297483
2021-10-20,0.8119247364375051
2021-10-21,0.8179746507278958
2021-10-22,0.8176782486309075
2021-10-25,0.8209469029096904
2021-10-26,0.815425235132145
2021-10-27,0.8064500947734295
2021-10-28,0.8172075480572025
2021-10-29,0.81995433115357
2021-11-01,0.8258436419272631
2021-11-02,0.8344029941256454
2021-11-03,0.8375771751760591
2021-11-04,0.8461093881577907
2021-11-05,0.851477081396076
2021-11-08,0.8570957649481477
2021-11-09,0.855513879399904
2021-11-10,0.8421088926788998
2021-11-11,0.8490321878335217
2021-11-12,0.8570827952384923
2021-11-15,0.8555679448525666
2021-11-16,0.8645288433889678
2021-11-17,0.8578951350928704
2021-11-18,0.8569829010862706
2021-11-19,0.8589012971328898
2021-11-22,0.8466396919639265
2021-11-23,0.8441584337124145
2021-11-24,0.8504125896892841
2021-11-26,0.8279016296437995
2021-11-29,0.8521054206149475
2021-11-30,0.8312944470288545
2021-12-01,0.818028220225109
2021-12-02,0.8341670937013603
2021-12-03,0.8239281492390265
2021-12-06,0.8277604684212815
2021-12-07,0.856742949290812
2021-12-08,0.8587172664227245
2021-12-09,0.8458458887689378
2021-12-10,0.857606268898688
2021-12-13,0.847879540710921
2021-12-14,0.8351519013808907
2021-12-15,0.8562985998329509
2021-12-16,0.8394305196017379
2021-12-17,0.8369898730320604
2021-12-20,0.8227665160384848
2021-12-21,0.8485683909094172
2021-12-22,0.857776928230684
2021-12-23,0.8645168345803224
2021-12-27,0.8839393282004845
2021-12-28,0.8798040679180832
2021-12-29,0.8827437320289785
2021-12-30,0.8763125033803725
2021-12-31,0.8740590648618439
2022-01-03,0.8768848447033323
2022-01-04,0.8736830611623437
2022-01-05,0.846783727646115
2022-01-06,0.8466376170107696
2022-01-07,0.8307333293442148
2022-01-10,0.8317984417209626
2022-01-11,0.8434975409438082
2022-01-12,0.8454130437312735
2022-01-13,0.8267167047359362
2022-01-14,0.8296523313758926
2022-01-18,0.8046125037017821
2022-01-19,0.7911579322896586
2022-01-20,0.7780897205634285
2022-01-21,0.7606224564827131
2022-01-24,0.7698659841389786
2022-01-25,0.7458328302744003
2022-01-26,0.743814301747139
2022-01-27,0.7315474790588153
2022-01-28,0.7561251452965989
2022-01-31,0.7836759616072497
2022-02-01,0.7883280507791769
2022-02-02,0.7971991546426156
2022-02-03,0.7719897427272739
2022-02-04,0.7766977457109134
2022-02-07,0.7748910139468914
2022-02-08,0.7851772118609773
2022-02-09,0.8090059105099677
2022-02-10,0.785775109891413
2022-02-11,0.7601011591021904
2022-02-14,0.7562362758717838
2022-02-15,0.7796784634668253
2022-02-16,0.7803552029156996
2022-02-17,0.7548167740285878
2022-02-18,0.7476211534358398
2022-02-22,0.738020517073637
2022-02-23,0.719733144220587
2022-02-24,0.7449767213125782
2022-02-25,0.7589056663413646
2022-02-28,0.7524253300836184
2022-03-01,0.7347890051567403
2022-03-02,0.7574709687513915
2022-03-03,0.7460226083040837
2022-03-04,0.7345148006125832
2022-03-07,0.7045407038496772
2022-03-08,0.7054013057482772
2022-03-09,0.7296208367943454
2022-03-10,0.7187231146809832
2022-03-11,0.7085738377373466
2022-03-14,0.6944476864626978
2022-03-15,0.7174541774953845
2022-03-16,0.7423195645823734
2022-03-17,0.7504807441297744
2022-03-18,0.7686170592727567
2022-03-21,0.7628611172742018
2022-03-22,0.7727380587651638
2022-03-23,0.7554370051058941
2022-03-24,0.7754981359826508
2022-03-25,0.7757584434959506
2022-03-28,0.7824437919865508
2022-03-29,0.8003913448651249
2022-03-30,0.7855772616886322
2022-03-31,0.7742170334511184
2022-04-01,0.7713586495342177
