Date,AVG
2021-07-26,0.8069329559993481
2021-07-27,0.8136747685930991
2021-07-28,0.808703105582543
2021-07-29,0.8114035067511589
2021-07-30,0.8119769907731026
2021-08-02,0.8102474835010985
2021-08-03,0.8107588535081275
2021-08-04,0.8044375535468248
2021-08-05,0.8174497752166968
2021-08-06,0.8166459483211459
2021-08-09,0.810881358565009
2021-08-10,0.8021041928119269
2021-08-11,0.8084233198113346
2021-08-12,0.8078765512175294
2021-08-13,0.8125334666931591
2021-08-16,0.8106308553820835
2021-08-17,0.8082918864106089
2021-08-18,0.7997751972054715
2021-08-19,0.8028810839297249
2021-08-20,0.8070570158981036
2021-08-23,0.8052806263180747
2021-08-24,0.803440906728911
2021-08-25,0.8064831083896449
2021-08-26,0.8061237665407581
2021-08-27,0.8160377504599589
2021-08-30,0.8240241976836084
2021-08-31,0.8298157802951976
2021-09-01,0.8437159499219403
2021-09-02,0.8479679034028836
2021-09-03,0.846289085509524
2021-09-07,0.8341098654538085
2021-09-08,0.839714713621029
2021-09-09,0.820997232321801
2021-09-10,0.8081951036898685
2021-09-13,0.8174861158225875
2021-09-14,0.8146570810613027
2021-09-15,0.818085578516523
2021-09-16,0.8196645275301172
2021-09-17,0.8092832107252602
2021-09-20,0.8048695578194816
2021-09-21,0.8043691025556794
2021-09-22,0.8149549003025005
2021-09-23,0.8161965096148875
2021-09-24,0.8067664439663497
2021-09-27,0.7952449573805515
2021-09-28,0.7912433800240233
2021-09-29,0.79851281632931
2021-09-30,0.7826368642658145
2021-10-01,0.7972821337286954
2021-10-04,0.7995191894449153
2021-10-05,0.7913324877095936
2021-10-06,0.7996560882692365
2021-10-07,0.8013930510631748
2021-10-08,0.7933573383388842
2021-10-11,0.7960048555039007
2021-10-12,0.8060757612418311
2021-10-13,0.8120064255804732
2021-10-14,0.8240156001733729
2021-10-15,0.8237595154841242
2021-10-18,0.8260812011297115
2021-10-19,0.8235987728859231
2021-10-20,0.837448100620883
2021-10-21,0.8352296749690574
2021-10-22,0.8401219683239779
2021-10-25,0.8423928228451061
2021-10-26,0.8459560840730791
2021-10-27,0.8392625516042403
2021-10-28,0.8517301432927245
2021-10-29,0.84018341248765
2021-11-01,0.8438357184670696
2021-11-02,0.8509905064978894
2021-11-03,0.8611617682177526
2021-11-04,0.8470497162811027
2021-11-05,0.8582942296340001
2021-11-08,0.8540910775484212
2021-11-09,0.8561509492800219
2021-11-10,0.8538548461514682
2021-11-11,0.8570937875321856
2021-11-12,0.8563497686444388
2021-11-15,0.8666527522930203
2021-11-16,0.8581330892612702
2021-11-17,0.862838849887467
2021-11-18,0.8644495969127304
2021-11-19,0.8546994181106806
2021-11-22,0.8511482035761674
2021-11-23,0.8609308022787778
2021-11-24,0.8728815796136092
2021-11-26,0.8409186591856055
2021-11-29,0.8498269791976709
2021-11-30,0.8262853400257283
2021-12-01,0.8100663933957949
2021-12-02,0.8410148091466957
2021-12-03,0.8362751959836671
2021-12-06,0.8524857882851793
2021-12-07,0.8673349024781012
2021-12-08,0.8758243046452924
2021-12-09,0.8628870994954497
2021-12-10,0.8649258231482332
2021-12-13,0.8738060581777551
2021-12-14,0.8613670931881503
2021-12-15,0.8757128386726618
2021-12-16,0.8745004317328243
2021-12-17,0.8734712508901437
2021-12-20,0.8624177904812607
2021-12-21,0.8790952770716342
2021-12-22,0.8881575053431585
2021-12-23,0.8860519973536027
2021-12-27,0.9032845972072416
2021-12-28,0.9069277916888148
2021-12-29,0.9138789179860912
2021-12-30,0.9186371844097304
2021-12-31,0.9206300432675416
2022-01-03,0.9166000452546482
2022-01-04,0.9231686734810712
2022-01-05,0.8946038994771822
2022-01-06,0.8953418055414891
2022-01-07,0.8891201093223777
2022-01-10,0.8848833599358564
2022-01-11,0.8858267135857166
2022-01-12,0.8895735379498624
2022-01-13,0.8903662829165936
2022-01-14,0.8794455069735329
2022-01-18,0.8695391206398123
2022-01-19,0.8538694615093418
2022-01-20,0.8402467036266005
2022-01-21,0.8381623919505475
2022-01-24,0.8398352464854644
2022-01-25,0.8366425491086759
2022-01-26,0.8257633846775722
2022-01-27,0.8106595875207554
2022-01-28,0.8391248533381365
2022-01-31,0.8510592807311855
2022-02-01,0.8472789039354249
2022-02-02,0.8610856320545174
2022-02-03,0.8493905866433625
2022-02-04,0.83977539563296
2022-02-07,0.8375604410873819
2022-02-08,0.8330401326364807
2022-02-09,0.8574338326734127
2022-02-10,0.8345443599017838
2022-02-11,0.8249419691589897
2022-02-14,0.8133305423526495
2022-02-15,0.8222148946733389
2022-02-16,0.8278689100982488
2022-02-17,0.817018319236843
2022-02-18,0.8126419163910787
2022-02-22,0.8099234448498563
2022-02-23,0.7941059454449784
2022-02-24,0.8082387333314793
2022-02-25,0.8347174332181365
2022-02-28,0.817774604024385
2022-03-01,0.8108950862713986
2022-03-02,0.8325738516931358
2022-03-03,0.8396642053381184
2022-03-04,0.8469777306882943
2022-03-07,0.828504780273805
2022-03-08,0.8276448575599411
2022-03-09,0.8417030866173628
2022-03-10,0.8447783809363212
2022-03-11,0.8359249707671003
2022-03-14,0.8263799960053042
2022-03-15,0.8337245153318195
2022-03-16,0.8438530630964567
2022-03-17,0.8544094413880007
2022-03-18,0.8546276794969393
2022-03-21,0.849758294729931
2022-03-22,0.8522411234182886
2022-03-23,0.8434655491392508
2022-03-24,0.8511044253732118
2022-03-25,0.8647814328787338
2022-03-28,0.8729888444213105
2022-03-29,0.90247490312114
2022-03-30,0.8956439145346231
2022-03-31,0.8818526567807091
2022-04-01,0.899998950851255
